Date,Code,CommodityId,CommodityName,DistrictName,DistrictCode,Stock,CommodityStock
2021-01-10,Tamil Nadu,2,Rice-Raw,COIMBATORE,SE12,680765.83,1092067.86
2021-01-10,Tamil Nadu,2,Rice-Raw,CHENNAI,SE14,95707.07,1092067.86
2021-01-10,Tamil Nadu,2,Rice-Raw,THOOTHUKKUDI,SE15,150393.43,1092067.86
2021-01-10,Tamil Nadu,2,Rice-Raw,THANJAVUR,SE16,68281.82,1092067.86
2021-01-10,Tamil Nadu,2,Rice-Raw,CUDDALORE(PONDICHERRY),SE17,16826.15,1092067.86
2021-01-10,Tamil Nadu,2,Rice-Raw,VELLORE,SE18,80093.56,1092067.86
2021-01-11,Tamil Nadu,2,Rice-Raw,COIMBATORE,SE12,702938.24,1096707.83
2021-01-11,Tamil Nadu,2,Rice-Raw,CHENNAI,SE14,95707.07,1096707.83
2021-01-11,Tamil Nadu,2,Rice-Raw,THOOTHUKKUDI,SE15,148392.98,1096707.83
2021-01-11,Tamil Nadu,2,Rice-Raw,THANJAVUR,SE16,64237.3,1096707.83
2021-01-11,Tamil Nadu,2,Rice-Raw,CUDDALORE(PONDICHERRY),SE17,14720.22,1096707.83
2021-01-11,Tamil Nadu,2,Rice-Raw,VELLORE,SE18,70712.02,1096707.83
2021-01-12,Tamil Nadu,2,Rice-Raw,COIMBATORE,SE12,700829.66,1083003.21
2021-01-12,Tamil Nadu,2,Rice-Raw,CHENNAI,SE14,95707.07,1083003.21
2021-01-12,Tamil Nadu,2,Rice-Raw,THOOTHUKKUDI,SE15,140978.46,1083003.21
2021-01-12,Tamil Nadu,2,Rice-Raw,THANJAVUR,SE16,62286.06,1083003.21
2021-01-12,Tamil Nadu,2,Rice-Raw,CUDDALORE(PONDICHERRY),SE17,12685.66,1083003.21
2021-01-12,Tamil Nadu,2,Rice-Raw,VELLORE,SE18,70516.29,1083003.21
2021-01-13,Tamil Nadu,2,Rice-Raw,COIMBATORE,SE12,700479.33,1108996.06
2021-01-13,Tamil Nadu,2,Rice-Raw,CHENNAI,SE14,95707.07,1108996.06
2021-01-13,Tamil Nadu,2,Rice-Raw,THOOTHUKKUDI,SE15,140978.46,1108996.06
2021-01-13,Tamil Nadu,2,Rice-Raw,THANJAVUR,SE16,62286.06,1108996.06
2021-01-13,Tamil Nadu,2,Rice-Raw,CUDDALORE(PONDICHERRY),SE17,12685.66,1108996.06
2021-01-13,Tamil Nadu,2,Rice-Raw,VELLORE,SE18,96859.47,1108996.06
2021-01-14,Tamil Nadu,2,Rice-Raw,COIMBATORE,SE12,700479.33,1108995.72
2021-01-14,Tamil Nadu,2,Rice-Raw,CHENNAI,SE14,95707.07,1108995.72
2021-01-14,Tamil Nadu,2,Rice-Raw,THOOTHUKKUDI,SE15,140978.46,1108995.72
2021-01-14,Tamil Nadu,2,Rice-Raw,THANJAVUR,SE16,62286.06,1108995.72
2021-01-14,Tamil Nadu,2,Rice-Raw,CUDDALORE(PONDICHERRY),SE17,12685.31,1108995.72
2021-01-14,Tamil Nadu,2,Rice-Raw,VELLORE,SE18,96859.47,1108995.72
2021-01-15,Tamil Nadu,2,Rice-Raw,COIMBATORE,SE12,700479.33,1108995.72
2021-01-15,Tamil Nadu,2,Rice-Raw,CHENNAI,SE14,95707.07,1108995.72
2021-01-15,Tamil Nadu,2,Rice-Raw,THOOTHUKKUDI,SE15,140978.46,1108995.72
